scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"refine-bulk-prefetch-1000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:56:55.5845959+00:00",Queue,BulkCopy,Channel,1,2,500,5,4000,1000,Uniform,10000,0.938949,10650.201,10650.201,93.574,351.036,393.699,95.032,354.478,394.247,0,True
"refine-tablevaluedparameter-batch-100","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:03.9688171+00:00",Queue,TableValuedParameter,Channel,1,2,100,5,8000,400,Uniform,10000,2.460013,4065.019,4065.019,184.967,220.154,265.562,185.462,220.203,265.833,0,True
"refine-bulk-delay-20","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:05.3828947+00:00",Queue,BulkCopy,Channel,1,2,500,20,4000,1000,Uniform,10000,0.836746,11951.062,11951.062,105.425,294.735,331.546,109.759,305.213,336.724,0,True
"refine-bulkcopy-lockswap","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:14.0256573+00:00",Queue,BulkCopy,LockSwap,1,2,500,5,4000,1000,Uniform,10000,2.916674,3428.563,3428.563,383.257,888.283,925.403,383.396,888.332,925.474,0,True
"refine-multipleinsertstatements-batch-10","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:24.0055018+00:00",Queue,MultipleInsertStatements,Channel,1,2,10,5,2000,40,Uniform,10000,4.387475,2279.215,2279.215,29.762,49.906,101.334,29.790,49.949,101.374,0,True
"refine-multirowvalues-batch-161","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:25.9226012+00:00",Queue,MultiRowValues,Channel,1,2,161,5,2000,644,Uniform,10000,1.257303,7953.530,7953.530,127.810,347.065,374.538,127.951,347.117,374.707,0,True
"refine-bulk-capacity-500","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:27.5841351+00:00",Queue,BulkCopy,Channel,1,2,500,5,500,1000,Uniform,10000,0.902997,11074.238,11074.238,94.271,247.438,250.527,99.055,249.925,250.890,0,True
"refine-bulk-delay-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:34.0489370+00:00",Queue,BulkCopy,Channel,1,2,500,1,4000,1000,Uniform,10000,0.863727,11577.731,11577.731,102.533,311.054,332.643,104.328,313.247,335.979,0,True
"refine-tablevaluedparameter-batch-1000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:35.6015228+00:00",Queue,TableValuedParameter,Channel,1,2,1000,5,8000,4000,Uniform,10000,0.804340,12432.549,12432.549,346.168,454.228,470.541,349.968,455.167,471.774,0,True
"refine-bulk-writers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:37.1714033+00:00",Queue,BulkCopy,Channel,1,2,500,5,4000,1000,Uniform,10000,0.832754,12008.345,12008.345,109.650,264.408,283.584,112.221,264.739,284.269,0,True
"refine-bulk-prefetch-4000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:38.7819546+00:00",Queue,BulkCopy,Channel,1,2,500,5,4000,4000,Uniform,10000,1.016216,9840.431,9840.431,368.843,582.829,587.184,373.670,586.999,591.397,0,True
"refine-bulkcopy-batch-10","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:57:59.0346544+00:00",Queue,BulkCopy,Channel,1,2,10,5,8000,40,Uniform,10000,11.984048,834.443,834.443,84.918,141.576,177.791,84.944,141.633,177.803,0,True
"refine-bulkcopy-batch-5000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:00.2979525+00:00",Queue,BulkCopy,Channel,1,2,5000,5,10000,20000,Uniform,10000,0.568829,17579.966,17579.966,377.940,443.756,457.120,383.824,448.439,457.760,0,True
"refine-bulkcopy-batch-100","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:03.2555661+00:00",Queue,BulkCopy,Channel,1,2,100,5,8000,400,Uniform,10000,2.380619,4200.588,4200.588,169.583,226.712,319.482,169.755,226.763,319.677,0,True
"refine-bulk-writers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:09.0076739+00:00",Queue,BulkCopy,Channel,1,4,500,5,4000,1000,Uniform,10000,0.805611,12412.946,12412.946,234.354,328.592,369.767,235.358,331.808,369.972,0,True
"refine-bulkcopy-batch-50","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:18.9299791+00:00",Queue,BulkCopy,Channel,1,2,50,5,8000,200,Uniform,10000,4.326184,2311.506,2311.506,163.681,218.622,338.444,163.793,218.844,338.526,0,True
"refine-bulk-capacity-2000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:21.3181010+00:00",Queue,BulkCopy,Channel,1,2,500,5,2000,1000,Uniform,10000,0.834867,11977.959,11977.959,108.636,293.304,316.881,110.553,294.057,317.070,0,True
"refine-bulk-prefetch-2000","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:22.8538965+00:00",Queue,BulkCopy,Channel,1,2,500,5,4000,2000,Uniform,10000,0.905518,11043.398,11043.398,258.006,387.897,428.442,260.015,389.211,431.322,0,True
"refine-multipleinsertstatements-batch-100","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:25.0539535+00:00",Queue,MultipleInsertStatements,Channel,1,2,100,5,2000,400,Uniform,10000,1.427806,7003.750,7003.750,84.066,316.560,348.779,84.294,316.604,348.844,0,True
"refine-bulk-writers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:27.5106722+00:00",Queue,BulkCopy,Channel,1,1,500,5,4000,1000,Uniform,10000,1.337947,7474.136,7474.136,83.610,266.476,320.920,87.566,270.659,323.802,0,True
"refine-tablevaluedparameter-batch-10","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:44.0054933+00:00",Queue,TableValuedParameter,Channel,1,2,10,5,8000,40,Uniform,10000,8.863767,1128.188,1128.188,59.893,111.779,126.499,59.927,111.854,126.536,0,True
"scaling-multipleinsertstatements-workers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:45.5761220+00:00",Queue,MultipleInsertStatements,Channel,4,2,50,5,2000,200,Uniform,10000,0.970132,10307.876,10307.876,103.476,261.875,321.566,103.563,261.909,321.684,0,True
"scaling-individual-workers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:54.1883791+00:00",Queue,Individual,None,4,4,1,5,1000,250,Uniform,10000,3.898989,2564.767,2564.767,13.548,39.173,269.339,13.584,39.244,269.362,0,True
"scaling-bulkcopy-workers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:58:58.1947778+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,10000,2.991723,3342.556,3342.556,870.395,1558.562,1562.856,873.961,1560.406,1563.074,0,True
"scaling-tablevaluedparameter-workers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:09.0413484+00:00",Queue,TableValuedParameter,Channel,2,2,500,5,4000,1000,Uniform,10000,5.365656,1863.705,1863.705,1648.977,3033.936,3079.227,1651.736,3034.505,3079.302,0,True
"scaling-individual-workers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:12.9010305+00:00",Queue,Individual,None,2,4,1,5,1000,250,Uniform,10000,3.328790,3004.094,3004.094,7.736,12.020,20.865,7.760,12.043,20.904,0,True
"scaling-multipleinsertstatements-workers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:34.0338087+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,10000,13.363863,748.287,748.287,499.441,754.956,785.420,499.562,755.020,785.650,0,True
"scaling-tablevaluedparameter-workers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:35.5259173+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,Uniform,10000,0.839660,11909.585,11909.585,112.111,251.218,274.925,115.760,254.184,275.136,0,True
"scaling-multipleinsertstatements-workers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:37.1699760+00:00",Queue,MultipleInsertStatements,Channel,2,2,50,5,2000,200,Uniform,10000,1.051428,9510.871,9510.871,62.186,217.422,258.026,62.272,217.497,258.146,0,True
"scaling-individual-workers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:49.0750383+00:00",Queue,Individual,None,1,4,1,5,1000,250,Uniform,10000,5.691457,1757.019,1757.019,7.466,12.230,18.881,7.477,12.239,18.887,0,True
"scaling-multirowvalues-workers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:50.5577750+00:00",Queue,MultiRowValues,Channel,4,2,100,5,2000,400,Uniform,10000,0.851501,11743.970,11743.970,184.991,390.940,431.334,185.892,391.156,431.379,0,True
"scaling-bulkcopy-workers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:51.7532210+00:00",Queue,BulkCopy,Channel,4,2,1000,5,8000,2000,Uniform,10000,0.632400,15812.772,15812.772,363.925,530.758,564.670,369.657,532.739,565.230,0,True
