scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"sqlbatch-delay-individual-20","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:07:46.8615220+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,4,20,1,500,2000,4.000,4.000,4,4,Uniform,2000,11.304575,176.920,176.920,85.265,130.389,148.106,85.271,130.418,148.146,0,True
"sqlbatch-delay-individual-5","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:07:16.9376706+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,4,5,1,500,2000,4.000,4.000,4,4,Uniform,2000,11.072020,180.636,180.636,84.650,118.255,132.169,84.687,118.281,132.225,0,True
"sqlbatch-delay-multipleinsertstatements-20","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:07:26.8938511+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,20,1,100,400,200.000,4.000,4,4,Uniform,20000,5.518076,3624.452,3624.452,407.045,597.630,623.057,407.450,597.890,623.116,0,True
"sqlbatch-delay-multipleinsertstatements-5","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:56.9313285+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,5,1,100,400,200.000,4.000,4,4,Uniform,20000,16.781615,1191.780,1191.780,418.180,4583.096,5473.996,418.294,4584.071,5474.049,0,True
"sqlbatch-direct-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:40.9715534+00:00",DirectDatabase,Individual,Native,None,1,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,3.938270,507.837,0.000,7.616,11.076,15.505,0.000,0.000,0.000,0,True
"sqlbatch-direct-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:11:08.7437294+00:00",DirectDatabase,Individual,SqlBatch,None,1,4,1,5,1000,250,4,1,1,1000,2000,2.000,2.000,2,2,Uniform,2000,14.000608,142.851,0.000,28.552,39.444,41.527,0.000,0.000,0.000,0,True
"sqlbatch-direct-multipleinsertstatements-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:48.6260069+00:00",DirectDatabase,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,1.219306,16402.772,0.000,11.677,16.579,19.318,0.000,0.000,0.000,0,True
"sqlbatch-direct-multipleinsertstatements-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:45.8349763+00:00",DirectDatabase,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,1,1,200,400,100.000,2.000,3,3,Uniform,20000,4.642773,4307.770,0.000,43.410,72.366,81.981,0.000,0.000,0.000,0,True
"sqlbatch-direct-multirowvalues-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:49.7062261+00:00",DirectDatabase,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,Uniform,20000,0.920727,21721.975,0.000,18.927,24.107,29.694,0.000,0.000,0.000,0,True
"sqlbatch-direct-multirowvalues-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:11:12.8022175+00:00",DirectDatabase,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,100,200,200.000,2.000,3,3,Uniform,20000,3.716750,5381.045,0.000,77.827,89.758,105.203,0.000,0.000,0.000,0,True
"sqlbatch-direct-tablevaluedparameter-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:51.4785602+00:00",DirectDatabase,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,40,40,500.000,1.000,1,1,Uniform,20000,1.537876,13004.946,0.000,137.355,313.371,440.551,0.000,0.000,0.000,0,True
"sqlbatch-direct-tablevaluedparameter-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:47.2413643+00:00",DirectDatabase,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,20,40,1000.000,2.000,3,3,Uniform,20000,1.187113,16847.594,0.000,109.151,159.103,159.118,0.000,0.000,0.000,0,True
